classification_id,classification_uuid,taxon_id,taxon_classification_id,path,rank,current_scientific_name,current_scientific_name_exact,scientific_name_synonym,scientific_name_synonym_exact,common_name
1,149f50d1-44e8-4f15-a092-251af314041d,390225,1_390225,Fungi|Ascomycota|Lecanoromycetes|Lecideales|Lecideaceae|Lecidea|Lecidea commaculans,sp.,Lecidea commaculans Nyl. 1868,Lecidea commaculans,"Lecidea polycocca Sommerf. 1826","Lecidea polycocca",""
1,149f50d1-44e8-4f15-a092-251af314041d,440935,1_440935,Fungi|Ascomycota|Dothideomycetes|Botryosphaeriales|Botryosphaeriaceae|Guignardia|Guignardia dioscoreae,sp.,Guignardia dioscoreae Sawada ex Katum. 1965,Guignardia dioscoreae,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,402311,1_402311,Fungi|Ascomycota|Lecanoromycetes|Ostropales|Porinaceae|Porina|Porina tijucana,sp.,Porina tijucana Vain. 1890,Porina tijucana,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,294705,1_294705,Fungi|Ascomycota|Sordariomycetes|Sordariales|Chaetomiaceae|Chaetomium|Chaetomium prasinum,sp.,Chaetomium prasinum (Berk. & M.A. Curtis) S. Hughes 1958,Chaetomium prasinum,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,132315,1_132315,Fungi|Ascomycota|Lecanoromycetes|Lecanorales|Parmeliaceae|Xanthoparmelia|Xanthoparmelia durietzii,sp.,Xanthoparmelia durietzii Hale 1987,Xanthoparmelia durietzii,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,505955,1_505955,Fungi|Ascomycota|Sordariomycetes|Incertae sedis|Incertae sedis|Barbatosphaeria|Barbatosphaeria barbirostris,sp.,Barbatosphaeria barbirostris (Dufour) Réblová 2008,Barbatosphaeria barbirostris,"Sphaeria barbirostris Dufour 1820,Ceratostomella barbirostris (Dufour) Sacc. 1882,Amphitrichum barbirostre (Dufour) Kuntze 1898,Calosphaeria barbirostris (Fr.) Ellis & Everh.,Wegelina barbirostris (Dufour) M.E. Barr 1998","Sphaeria barbirostris,Ceratostomella barbirostris,Amphitrichum barbirostre,Calosphaeria barbirostris,Wegelina barbirostris",""
1,149f50d1-44e8-4f15-a092-251af314041d,235959,1_235959,Fungi|Ascomycota|Incertae sedis|Incertae sedis|Incertae sedis|Coremiella|Coremiella cystopodoides,sp.,Coremiella cystopodoides Bubák & Krieg. 1912,Coremiella cystopodoides,"Briosia cystopodoides (Bubák & Krieg.) Arx 1972","Briosia cystopodoides",""
1,149f50d1-44e8-4f15-a092-251af314041d,133197,1_133197,Fungi|Basidiomycota|Agaricomycetes|Auriculariales|Auriculariaceae|Exidiopsis|Exidiopsis succinea,sp.,Exidiopsis succinea K. Wells & Raitv. 1987,Exidiopsis succinea,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,390226,1_390226,Fungi|Ascomycota|Lecanoromycetes|Lecideales|Lecideaceae|Lecidea|Lecidea commixta,sp.,Lecidea commixta H. Magn. 1925,Lecidea commixta,"","",""
1,149f50d1-44e8-4f15-a092-251af314041d,455246,1_455246,Fungi|Ascomycota|Taphrinomycetes|Taphrinales|Taphrinaceae|Taphrina|Taphrina pruni pruni,var.,Taphrina pruni var. pruni Tul. 1866,Taphrina pruni pruni,"","",""
